weights_index,architecture,flop,params,train_time10,train_acc10,valid_acc10,train_time50,train_acc50,valid_acc50,test_acc50,gpu_latency,rasp_latency,fpga_latency,mcu_latency
000-00,"Genotype(normal=[('sep_conv_5x5', 0), ('dil_conv_5x5', 1), ('avg_pool_3x3', 1), ('dil_conv_5x5', 0), ('avg_pool_3x3', 2), ('dil_conv_3x3', 3), ('sep_conv_3x3', 2), ('sep_conv_3x3', 0)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('max_pool_3x3', 0), ('max_pool_3x3', 1), ('dil_conv_3x3', 1), ('dil_conv_3x3', 0), ('avg_pool_3x3', 0), ('sep_conv_3x3', 4)], reduce_concat=range(2, 6))",536.55264,3.262942,0:20:57,75.106,79.76,1:44:56,86.726,92.04,92.03999747,29.33620105,250.44,489.66,406.42
000-01,"Genotype(normal=[('sep_conv_3x3', 1), ('dil_conv_3x3', 0), ('dil_conv_3x3', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 0), ('dil_conv_5x5', 1), ('sep_conv_5x5', 0), ('dil_conv_3x3', 3)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 0), ('dil_conv_3x3', 1), ('max_pool_3x3', 2), ('dil_conv_3x3', 1), ('max_pool_3x3', 0), ('max_pool_3x3', 3), ('dil_conv_3x3', 3), ('sep_conv_3x3', 1)], reduce_concat=range(2, 6))",560.799936,3.407662,0:21:07,76.4,80.5,1:45:33,88.15,92.42,92.41999719,29.52694659,241.3,436.06,480.96
000-02,"Genotype(normal=[('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('sep_conv_5x5', 1), ('dil_conv_5x5', 0), ('dil_conv_3x3', 0), ('sep_conv_3x3', 3), ('max_pool_3x3', 1), ('dil_conv_3x3', 4)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 1), ('skip_connect', 0), ('avg_pool_3x3', 0), ('avg_pool_3x3', 2), ('dil_conv_3x3', 0), ('none', 2), ('sep_conv_3x3', 1), ('sep_conv_5x5', 2)], reduce_concat=range(2, 6))",545.206464,3.316942,0:21:14,76.312,83.14,1:46:19,87.598,92.64,92.62999735,30.00684628,210.6,475.36,543.32
000-03,"Genotype(normal=[('max_pool_3x3', 0), ('sep_conv_5x5', 1), ('sep_conv_5x5', 0), ('dil_conv_5x5', 2), ('avg_pool_3x3', 2), ('dil_conv_3x3', 1), ('dil_conv_3x3', 2), ('none', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('none', 1), ('sep_conv_5x5', 2), ('avg_pool_3x3', 0), ('skip_connect', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 0), ('sep_conv_5x5', 3)], reduce_concat=range(2, 6))",491.62464,2.992294,0:19:21,76.356,81.64,1:36:09,85.848,92.37,92.36999752,27.18332925,260.39,329.85,437.5
000-04,"Genotype(normal=[('sep_conv_3x3', 0), ('dil_conv_5x5', 1), ('max_pool_3x3', 1), ('skip_connect', 0), ('sep_conv_3x3', 3), ('avg_pool_3x3', 0), ('skip_connect', 1), ('dil_conv_3x3', 2)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 0), ('skip_connect', 1), ('dil_conv_5x5', 0), ('avg_pool_3x3', 2), ('sep_conv_5x5', 3), ('dil_conv_3x3', 0), ('skip_connect', 1), ('avg_pool_3x3', 2)], reduce_concat=range(2, 6))",430.826688,2.65015,0:16:02,79.216,83.65,1:20:34,90.87,93.49,93.48999734,22.935115,155.21,465.28,423.06
000-05,"Genotype(normal=[('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('sep_conv_5x5', 1), ('none', 0), ('dil_conv_5x5', 1), ('avg_pool_3x3', 2), ('sep_conv_5x5', 1), ('sep_conv_5x5', 4)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('dil_conv_3x3', 1), ('sep_conv_3x3', 0), ('dil_conv_3x3', 0), ('skip_connect', 1), ('dil_conv_5x5', 1), ('skip_connect', 3)], reduce_concat=range(2, 6))",573.32448,3.442006,0:22:53,75.142,75.76,1:54:30,85.308,91.75,91.74999749,32.52508445,220.37,322.19,516.2
000-06,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_5x5', 0), ('sep_conv_5x5', 1), ('none', 0), ('dil_conv_5x5', 3), ('sep_conv_5x5', 1), ('dil_conv_5x5', 1), ('avg_pool_3x3', 0)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('skip_connect', 0), ('dil_conv_5x5', 2), ('none', 1), ('dil_conv_3x3', 2), ('dil_conv_5x5', 0), ('avg_pool_3x3', 3), ('skip_connect', 0)], reduce_concat=range(2, 6))",593.258688,3.570958,0:23:19,71.738,76.05,1:57:05,85.708,91.65,91.64999762,32.75003667,198.06,430.13,470.39
000-07,"Genotype(normal=[('skip_connect', 0), ('none', 1), ('sep_conv_3x3', 2), ('dil_conv_5x5', 1), ('dil_conv_5x5', 1), ('none', 3), ('sep_conv_5x5', 2), ('avg_pool_3x3', 3)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 0), ('sep_conv_3x3', 1), ('dil_conv_5x5', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 0), ('sep_conv_3x3', 3), ('skip_connect', 1), ('sep_conv_5x5', 2)], reduce_concat=range(2, 6))",461.654208,2.837854,0:17:20,78.386,83.53,1:27:11,90.436,93.06,93.05999736,24.76029062,204.09,314.69,540.87
000-08,"Genotype(normal=[('sep_conv_3x3', 1), ('skip_connect', 0), ('dil_conv_3x3', 2), ('avg_pool_3x3', 1), ('none', 2), ('avg_pool_3x3', 1), ('dil_conv_3x3', 0), ('sep_conv_5x5', 2)], normal_concat=range(2, 6), reduce=[('skip_connect', 0), ('sep_conv_3x3', 1), ('sep_conv_5x5', 1), ('max_pool_3x3', 2), ('sep_conv_5x5', 1), ('dil_conv_3x3', 0), ('avg_pool_3x3', 3), ('sep_conv_3x3', 2)], reduce_concat=range(2, 6))",450.097344,2.792926,0:17:08,77.826,83.72,1:25:39,90.402,93.53,93.52999756,24.06050224,161.18,464.98,517.97
000-09,"Genotype(normal=[('max_pool_3x3', 1), ('skip_connect', 0), ('skip_connect', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 1), ('avg_pool_3x3', 3), ('sep_conv_5x5', 1), ('skip_connect', 2)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('skip_connect', 2), ('skip_connect', 0), ('max_pool_3x3', 3), ('dil_conv_5x5', 1), ('skip_connect', 1), ('max_pool_3x3', 4)], reduce_concat=range(2, 6))",378.8208,2.27863,0:13:58,79.528,84.12,1:09:51,90.416,93.09,93.08999747,20.54448471,214.81,389.21,407.49
